CN,DBCode,JournalId,Publisher,JournalName,ISSN,ISBN,VolumeId,VolNo1,VolNo2,Pubyear,HoldingFlag,ArticleId,Title,Abstract,Author,FulltextFlag,AbstractFlag,PageInfo,DOI,FulltextURL,ContentURL,MobileURL,Keyword,Degree,query
NART70198266,JAFO,NJOU00002680,American Geophysical Union,Geophysical research letters,0094-8276;1944-8007;,,756,41,10,2014,,NART70198266,"Twentieth century sea&#x2010;ice trends in the Ross Sea from a high&#x2010;resolution, coastal ice&#x2010;core record","<▼1><P><B>Abstract</B><P>We present the first proxy record of sea&#x2010;ice area (SIA) in the Ross Sea, Antarctica, from a 130 year coastal ice&#x2010;core record. High&#x2010;resolution deuterium excess data show prevailing stable SIA from the 1880s until the 1950s, a 2-5% reduction from the mid&#x2010;1950s to the early&#x2010;1990s, and a 5% increase after 1993. Additional support for this reconstruction is derived from ice&#x2010;core methanesulphonic acid concentrations and whaling records. While SIA has continued to decline around much of the West Antarctic coastline since the 1950s, concurrent with increasing air and ocean temperatures, the underlying trend is masked in the Ross Sea by a switch to positive SIA anomalies since the early&#x2010;1990s. This increase is associated with a strengthening of southerly winds and the enhanced northward advection of sea ice.</P></P></▼1><▼2><P><B>Key Points</B><P><P>Sea ice in the Ross Sea was stable between the 1880s and 1950s</P><P>After 1950, sea ice area in the Ross Sea began to decline</P><P>An increase from the 1990s onward is related to changing atmospheric circulation</P></P></P></▼2>","Sinclair, Kate E.;Bertler, Nancy A. N.;Bowen, Melissa M.;Arrigo, Kevin R.;",2,1,pp.3510-3516,https://doi.org/10.1002/2014gl059821,,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART70198266,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART70198266&type=mobile,,,Ross Sea core
NART109782005,JAFO,NJOU00395742,Copernicus GmbH,Climate of the past,1814-9324;1814-9332;,,99,16,5,2020,,NART109782005,"An 83 000-year-old ice core from Roosevelt Island, Ross Sea, Antarctica","<P>Abstract. In 2013 an ice core was recovered from Roosevelt Island, an ice dome between two submarine troughs carved by paleo-ice-streams in the Ross Sea, Antarctica. The ice core is part of the Roosevelt Island Climate Evolution (RICE) project and provides new information about the past configuration of the West Antarctic Ice Sheet (WAIS) and its retreat during the last deglaciation. In this work we present the RICE17 chronology, which establishes the depth-age relationship for the top 754 m of the 763 m core. RICE17 is a composite chronology combining annual layer interpretations for 0-343 m (Winstrup et al., 2019) with new estimates for gas and ice ages based on synchronization of CH4 and &delta;18Oatm records to corresponding records from the WAIS Divide ice core and by modeling of the gas age-ice age difference. Novel aspects of this work include the following: (1) an automated algorithm for multiproxy stratigraphic synchronization of high-resolution gas records; (2) synchronization using centennial-scale variations in methane for pre-anthropogenic time periods (60-720 m, 1971 CE to 30 ka), a strategy applicable for future ice cores; and (3) the observation of a continuous climate record back to &sim;65 ka providing evidence that the Roosevelt Island Ice Dome was a constant feature throughout the last glacial period. </P>","Lee, James E.;Brook, Edward J.;Bertler, Nancy A. N.;Buizert, Christo;Baisden, Troy;Blunier, Thomas;Ciobanu, V. Gabriela;Conway, Howard;Dahl-Jensen, Dorthe;Fudge, Tyler J.;Hindmarsh, Richard;Keller, Elizabeth D.;Parrenin, Fr&eacute;d&eacute;ric;Severinghaus, Jeffrey P.;Vallelonga, Paul;Waddington, Edwin D.;Winstrup, Mai;",2,1,pp.1691-1713,https://doi.org/10.5194/cp-16-1691-2020,,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART109782005,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART109782005&type=mobile,,,Ross Sea core
NART102750892,JAFO,NJOU00004103,Elsevier,Marine geology,0025-3227;;,,668,428,,2020,,NART102750892,"Geochemical characterization of a marine sediment core from the Joides Basin, Ross Sea, Antarctica","<P><B>Abstract</B></P>  <P>The chemical fractionation of ten metals (Al, Ti, Cr, Fe, Cd, Cu, Mn, Pb, Zn and Ni) is reported for a marine sediment collected in the Joides Basin, Ross Sea, Antarctica. To evaluate their mobility and availability, the BCR sequential extraction procedure was applied on 11 sections of the sediment. The analyses, performed both by ICP-OES and GF-AAS, highlighted that most of the elements were in the residual phase, showing a strong binding with the matrix and a low availability. The BCR sequential procedure allowed us to have an insight into the chemical properties of the sediment and provided useful information about the redox state of the sediment itself and important indication on the availability and partitioning of different metals. A chemometric treatment was applied on the dataset and it showed a separation between the superficial and the deep sections of the core, the first being more influenced by the presence of Mn and the second by an increase in Al, Ti, Fe, Cr and Pb concentrations.</P>   <P><B>Highlights</B></P>  <P> <UL> <LI>  Chemical and XRD investigation of a marine sediment core in the Ross Sea </LI> <LI>  Investigation of sediment diagenetic processes </LI> <LI>  High concentration of acid-leachable Cd likely due non-selective uptake by biota </LI> <LI>  Mobility and partitioning of different metals using BCR sequential procedure </LI> </UL> </P>","Burgay, F.;Abollino, O.;Buoso, S.;Costa, E.;Giacomino, A.;La Gioia, C.;Garofalo, S. Fraterrigo;Pecoraro, G.;Malandrino, M.;",2,1,pp.106286,http://dx.doi.org/10.1016/j.margeo.2020.106286,,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART102750892,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART102750892&type=mobile,Antarctica . Ross sea . Marine sediment . Sequential extraction procedure . Sediment diagenesis,,Ross Sea core
NPAP04903951,CFFO,NPRO00224673,,Meeting on Italian Antarctic glaciology,;;,88-88395-02-4;;,1,2003,,2003,,NPAP04903951,"Palaeoenvironmental Inferences from Core ANTA95-1 (Granite Harbor, SW Ross Sea - Antarctica)",,"Orsini, G.;Giglio, F.;Langone, L.;Ravaioli, M.;",0,0,pp.133-138,,,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NPAP&cn=NPAP04903951,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NPAP&cn=NPAP04903951&type=mobile,,,Ross Sea core
NART64771304,JAFO,NJOU00395742,Copernicus GmbH,Climate of the past,1814-9324;1814-9332;,,21,8,4,2012,,NART64771304,"Little Ice Age climate and oceanic conditions of the Ross Sea, Antarctica from a coastal ice core record","<P>Abstract. Increasing paleoclimatic evidence suggests that the Little Ice Age (LIA) was a global climate change event. Understanding the forcings and associated climate system feedbacks of the LIA is made difficult by the scarcity of Southern Hemisphere paleoclimate records. We use a new glaciochemical record of a coastal ice core from Mt. Erebus Saddle, Antarctica, to reconstruct atmospheric and oceanic conditions in the Ross Sea sector of Antarctica over the past five centuries. The LIA is identified in stable isotope (&delta;D) and lithophile element records, which respectively demonstrate that the region experienced 1.6 ± 1.4 &deg;C cooler average temperatures prior to 1850 AD than during the last 150 yr and strong (>57 m s&#x2212;1) prevailing katabatic winds between 1500 and 1800 AD. Al and Ti concentration increases of an order of magnitude (>120 ppb Al) are linked to enhanced aeolian transport of complex silicate minerals and represent the strongest katabatic wind events of the LIA. These events are associated with three 12-30 yr intervals of cooler temperatures at ca. 1690 AD, 1770 AD and 1840 AD. Furthermore, ice core concentrations of the biogenic sulphur species MS&#x2212; suggest that biological productivity in the Ross Sea polynya was ~80% higher prior to 1875 AD than at any subsequent time. We propose that cooler Antarctic temperatures promoted stronger katabatic winds across the Ross Ice Shelf, resulting in an enlarged Ross Sea polynya during the LIA. </P>","Rhodes, R. H.;Bertler, N. A. N.;Baker, J. A.;Steen-Larsen, H. C.;Sneed, S. B.;Morgenstern, U.;Johnsen, S. J.;",2,1,pp.1223-1238,https://doi.org/10.5194/cp-8-1223-2012,,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART64771304,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART64771304&type=mobile,,,Ross Sea core
NART100681505,JAFO,NJOU00034906,American Geophysical Union,Journal of geophysical research : JGR. D : Atmospheres,0148-0227;;,,39693,117,d2,2012,,NART100681505,"Synoptic variability in the Ross Sea region, Antarctica, as seen from back&#x2010;trajectory modeling and ice core analysis","<▼1><P>Synoptic variability in the Ross Sea region, Antarctica over the last thirty years is investigated using back&#x2010;trajectory modeling and cluster analysis. We identify two dominant air&#x2010;mass trajectory clusters: oceanic/West Antarctic and continental/East Antarctic. Our analysis shows that the oceanic/West Antarctic trajectories have an annual cycle similar to the Semiannual Oscillation and on average peak in frequency during April, while continental/East Antarctic trajectories reach their annual maximum during December. We demonstrate a causal association between the El Ni&ntilde;o Southern Oscillation (ENSO) and the frequency of oceanic/West Antarctic trajectories originating from the Ross Sea and Amundsen Sea regions. In contrast, we find that the Southern Annular Mode (SAM) has little influence on the trajectory cluster frequencies. We then develop proxy records for synoptic variability using a shallow firn core from Gawn Ice Piedmont in Southern Victoria Land. Continental/East Antarctic trajectory frequency correlates with concentrations of nitrate (NO3), which is sourced from stratospheric air&#x2010;masses descending over the Antarctic interior. At seasonal to inter&#x2010;annual scales, the frequency of oceanic/West Antarctic trajectory clusters strongly correlate with deuterium excess, which is sensitive to changes in relative humidity and sea surface temperature in the Ross and Amundsen Seas. Inter&#x2010;annual variability in the frequency of oceanic/West Antarctic trajectories is discussed with respect to ENSO and changes in SST and sea ice extent.</P></▼1><▼2><P><B>Key Points</B><P><P>We reconstruct the synoptic history of a site through back&#x2010;trajectory analysis</P><P>We establish the use of d excess as a proxy for cyclone frequency in a firn core</P><P>We show the influence of ENSO in modulating source regions to S. Victoria Land</P></P></P></▼2>","Markle, B. R.;Bertler, N. A. N.;Sinclair, K. E.;Sneed, S. B.;",2,1,pp.2011JD016437,https://doi.org/10.1029/2011jd016437,,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART100681505,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART100681505&type=mobile,,,Ross Sea core
NART108114467,JAFO,NJOU00413962,Copernicus GmbH,Climate of the past discussions  : (CPD),1814-9340;1814-9359;,,24,8,1,2012,,NART108114467,"Little Ice Age climate and oceanic conditions of the Ross Sea, Antarctica from a coastal ice core record","<P>Abstract. The Little Ice Age (LIA) is the most recent abrupt climate change event. Understanding its forcings and associated climate system feedbacks is made difficult by a scarcity of Southern Hemisphere paleoclimate records. In this paper we utilise ice core glaciochemical records to reconstruct atmospheric and oceanic conditions in the Ross Sea sector of Antarctic, a region influenced by two contrasting meteorological regimes: katabatic winds and cyclones. Stable isotope (&delta;D) and lithophile element concentration (e.g., Al) records indicate that the region experienced ~1.75 &deg;C cooler temperatures and strong (&amp;gt;57 m s&#x2212;1) prevailing katabatic winds during the LIA. We observe that the 1590-1875 record is characterised by high d-excess values and marine element (e.g., Na) concentrations, which are linked to the intrusion of cyclonic systems. The strongest katabatic wind events of the LIA, marked by Al, Ti and Pb concentration increases of an order of magnitude (&amp;gt;120 ppb Al), also occur during this interval. Furthermore, concentrations of the biogenic sulphur species MS&#x2212; suggest that biological productivity in the Ross Sea Polynya was ~80% higher prior to 1875 than in the subsequent time. We propose that colder temperatures and intensified cyclonic activity in the Ross Sea promoted stronger katabatic winds across the Ross Ice Shelf, resulting in an enlarged polynya with increased sea ice and bottom water production. It is therefore hypothesised that increased bottom water formation during the LIA occurred in response to atmospheric circulation change. </P>","Rhodes, R. H.;Bertler, N. A. N.;Baker, J. A.;Steen-Larsen, H. C.;Sneed, S. B.;Morgenstern, U.;Johnsen, S. J.;",2,1,pp.215-262,http://dx.doi.org/10.5194/cpd-8-215-2012,,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART108114467,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART108114467&type=mobile,,,Ross Sea core
NART63287482,JAFO,NJOU00007510,American Meteorological Society,Journal of climate,0894-8755;1520-0442;,,450,25,10,2012,,NART63287482,"Twentieth-Century Surface Temperature Trends in the Western Ross Sea, Antarctica: Evidence from a High-Resolution Ice Core","<B>Abstract</B><P>A 125-yr ice core record of climate from the Whitehall Glacier ice divide provides exceptionally high-resolution stable isotope data from the northwest margin of the Ross Sea, Antarctica. This is the only proxy data available to extend the instrumental record of temperature in this region, where little is known about climate variability over the past two centuries. Using ECMWF Interim Re-Analysis (ERA-Interim) data, this study develops a precipitation-weighted &delta;18O-temperature transfer function of 0.62‰ &deg;C&#x2212;1, which is comparable to other proximal ice cores, such as Taylor, Talos, and Law Domes. Reconstructed mean annual temperatures show no significant change between 1882 and 2006. However, a decrease in cold season [April-September (AMJJAS)] temperatures of &#x2212;1.59&deg; ± 0.84&deg;C decade&#x2212;1 (at 90% confidence) is observed since 1979. This cooling trend is in contrast to a surface temperature record from Ross Island (Scott Base) where significant spring warming is observed. It is also coincident with a positive trend in the southern annular mode, which is linked to stronger southerly winds and increased sea ice extent and duration in the western Ross Sea.</P>","Sinclair, Kate E.;Bertler, Nancy A. N.;van Ommen, Tas D.;",2,1,pp.3629-3636,http://dx.doi.org/10.1175/JCLI-D-11-00496.1,,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART63287482,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART63287482&type=mobile,,,Ross Sea core
NART118918745,JAFO,NJOU00001907,Geological Society of America,Geological Society of America bulletin,0016-7606;1943-2674;,,644,134,1,2022,,NART118918745,Early and middle Miocene ice sheet dynamics in the Ross Sea: Results from integrated core-log-seismic interpretation,"<P><B>Abstract</B><P>Oscillations in ice sheet extent during early and middle Miocene are intermittently preserved in the sedimentary record from the Antarctic continental shelf, with widespread erosion occurring during major ice sheet advances, and open marine deposition during times of ice sheet retreat. Data from seismic reflection surveys and drill sites from Deep Sea Drilling Project Leg 28 and International Ocean Discovery Program Expedition 374, located across the present-day middle continental shelf of the central Ross Sea (Antarctica), indicate the presence of expanded early to middle Miocene sedimentary sections. These include the Miocene climate optimum (MCO ca. 17-14.6 Ma) and the middle Miocene climate transition (MMCT ca. 14.6-13.9 Ma). Here, we correlate drill core records, wireline logs and reflection seismic data to elucidate the depositional architecture of the continental shelf and reconstruct the evolution and variability of dynamic ice sheets in the Ross Sea during the Miocene. Drill-site data are used to constrain seismic isopach maps that document the evolution of different ice sheets and ice caps which influenced sedimentary processes in the Ross Sea through the early to middle Miocene. In the early Miocene, periods of localized advance of the ice margin are revealed by the formation of thick sediment wedges prograding into the basins. At this time, morainal bank complexes are distinguished along the basin margins suggesting sediment supply derived from marine-terminating glaciers. During the MCO, biosiliceous-bearing sediments are regionally mapped within the depocenters of the major sedimentary basin across the Ross Sea, indicative of widespread open marine deposition with reduced glacimarine influence. At the MMCT, a distinct erosive surface is interpreted as representing large-scale marine-based ice sheet advance over most of the Ross Sea paleo-continental shelf. The regional mapping of the seismic stratigraphic architecture and its correlation to drilling data indicate a regional transition through the Miocene from growth of ice caps and inland ice sheets with marine-terminating margins, to widespread marine-based ice sheets extending across the outer continental shelf in the Ross Sea.</P></P>","P&eacute;rez, Lara F.;Santis, Laura De;McKay, Robert M.;Larter, Robert D.;Ash, Jeanine;Bart, Phil J.;B&ouml;hm, Gualtiero;Brancatelli, Giuseppe;Browne, Imogen;Colleoni, Florence;Dodd, Justin P.;Geletti, Riccardo;Harwood, David M.;Kuhn, Gerhard;Laberg, Jan Sverre;Leckie, R. Mark;Levy, Richard H.;Marschalek, James;Mateo, Zenon;Naish, Timothy R.;Sangiorgi, Francesca;Shevenell, Amelia E.;Sorlien, Christopher C.;van de Flierdt, Tina;",2,1,pp.348-370,https://doi.org/10.1130/b35814.1,,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART118918745,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART118918745&type=mobile,,,Ross Sea core
NART76709466,JAFO,NJOU00007376,Elsevier,Global and planetary change,0921-8181;;,,249,146,,2016,,NART76709466,"Miocene Antarctic ice dynamics in the Ross Embayment (Western Ross Sea, Antarctica): Insights from provenance analyses of sedimentary clasts in the AND-2A drill core",A detailed study of gravel-size sedimentary clasts in the ANDRILL-2A (AND-2A) drill core reveals distinct changes in provenance and allows reconstructions to be produced of the paleo ice flow in the McMurdo Sound region (Ross Sea) from the Early Miocene to the Holocene. The sedimentary clasts in AND-2A are divided into seven distinct petrofacies. A comparison of these with potential source rocks from the Transantarctic Mountains and the coastal Southern Victoria Land suggests that the majority of the sedimentary clasts were derived from formations within the Devonian-Triassic Beacon Supergroup. The siliciclastic-carbonate petrofacies are similar to the fossiliferous erratics found in the Quaternary Moraine in the southern McMurdo Sound and were probably sourced from Eocene strata that are currently hidden beneath the Ross Ice Shelf. Intraformational clasts were almost certainly reworked from diamictite and mudstone sequences that were originally deposited proximal to the drill site. The distribution of sedimentary gravel clasts in AND-2A suggests that sedimentary sequences in the drill core were deposited under two main glacial scenarios: 1) a highly dynamic ice sheet that did not extend beyond the coastal margin and produced abundant debris-rich icebergs from outlet glaciers in the central Transantarctic Mountains and South Victoria Land; 2) and an ice sheet that extended well beyond the coastal margin and periodically advanced across the Ross Embayment. Glacial scenario 1 dominated the early to mid-Miocene (between ca. 1000 and 225mbsf in AND-2A) and scenario 2 the early Miocene (between ca. 1138 and 1000mbsf) and late Neogene to Holocene (above ca. 225mbsf). This study augments previous research on the clast provenance and highlights the added value that sedimentary clasts offer in terms of reconstructing past glacial conditions from Antarctic drill core records.,"Cornamusini, G.;Talarico, F.M.;",2,1,pp.38-52,https://doi.org/10.1016/j.gloplacha.2016.09.001,,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART76709466,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART76709466&type=mobile,Provenance . Cenozoic . Ross Sea . Sedimentary clasts . Andrill,,Ross Sea core
